1,HUP,Hangup detected on controlling terminal or death of controlling process
2,INT,Interrupt from keyboard
3,QUIT,Quit from keyboard
4,ILL,Illegal instruction
5,TRAP,Trace/breakpoint trap
6,ABRT,Aborted
7,BUS,Bus error (bad memory access)
8,FPE,Floating point exception
9,KILL,Killed (sent by kill(1))
10,USR1,User-defined signal 1
11,SEGV,Segmentation fault
12,USR2,User-defined signal 2
13,PIPE,Broken pipe
14,ALRM,Alarm clock
15,TERM,Termination signal
16,STKFLT,Stack fault
17,CHLD,Child process terminated or stopped
18,CONT,Continue execution, if stopped
19,STOP,Stop execution
20,TSTP,Terminal stop signal
21,TTIN,Background process attempting read from controlling terminal
22,TTOU,Background process attempting write to controlling terminal
23,URG,Urgent condition on socket
24,XCPU,CPU time limit exceeded
25,XFSZ,File size limit exceeded
26,VTALRM,Virtual timer expired
27,PROF,Profiling timer expired
28,WINCH,Window size change
29,IO,I/O possible
30,PWR,Power failure
31,SYS,System call failed
32,null,Reserved
33,null,Reserved
34,RTMIN,Real-time signals, starting at this number
35,RTMIN+1,Real-time signal 1
36,RTMIN+2,Real-time signal 2
37,RTMIN+3,Real-time signal 3
38,RTMIN+4,Real-time signal 4
39,RTMIN+5,Real-time signal 5
40,RTMIN+6,Real-time signal 6
41,RTMIN+7,Real-time signal 7
42,RTMIN+8,Real-time signal 8
43,RTMIN+9,Real-time signal 9
44,RTMIN+10,Real-time signal 10
45,RTMIN+11,Real-time signal 11
46,RTMIN+12,Real-time signal 12
47,RTMIN+13,Real-time signal 13
48,RTMIN+14,Real-time signal 14
49,RTMIN+15,Real-time signal 15
50,RTMAX-14,Real-time signal 14 (from the end)
51,RTMAX-13,Real-time signal 13 (from the end)
52,RTMAX-12,Real-time signal 12 (from the end)
53,RTMAX-11,Real-time signal 11 (from the end)
54,RTMAX-10,Real-time signal 10 (from the end)
55,RTMAX-9,Real-time signal 9 (from the end)
56,RTMAX-8,Real-time signal 8 (from the end)
57,RTMAX-7,Real-time signal 7 (from the end)
58,RTMAX-6,Real-time signal 6 (from the end)
59,RTMAX-5,Real-time signal 5 (from the end)
60,RTMAX-4,Real-time signal 4 (from the end)
61,RTMAX-3,Real-time signal 3 (from the end)
62,RTMAX-2,Real-time signal 2 (from the end)
63,RTMAX-1,Real-time signal 1 (from the end)
64,RTMAX,Real-time signal 0 (from the end)
