short,name,domain
splm,Spanish Language Meta,meta.spanish.stackexchange.com
scicomp,Computational Science,scicomp.stackexchange.com
scicompm,Computational Science Meta,meta.scicomp.stackexchange.com
mt,Movies & TV,movies.stackexchange.com
mtm,Movies & TV Meta,meta.movies.stackexchange.com
chl,Chinese Language,chinese.stackexchange.com
chlm,Chinese Language Meta,meta.chinese.stackexchange.com
bio,Biology,biology.stackexchange.com
biom,Biology Meta,meta.biology.stackexchange.com
pk,Poker,poker.stackexchange.com
pkm,Poker Meta,meta.poker.stackexchange.com
mat,Mathematica,mathematica.stackexchange.com
matm,Mathematica Meta,meta.mathematica.stackexchange.com
ps,Psychology & Neuroscience,psychology.stackexchange.com
psm,Psychology & Neuroscience Meta,meta.psychology.stackexchange.com
tgo,The Great Outdoors,outdoors.stackexchange.com
tgom,The Great Outdoors Meta,meta.outdoors.stackexchange.com
ma,Martial Arts,martialarts.stackexchange.com
mam,Martial Arts Meta,meta.martialarts.stackexchange.com
sp2,Sports,sports.stackexchange.com
spm2,Sports Meta,meta.sports.stackexchange.com
acad,Academia,academia.stackexchange.com
acadm,Academia Meta,meta.academia.stackexchange.com
cs,Computer Science,cs.stackexchange.com
csm,Computer Science Meta,meta.cs.stackexchange.com
wkp,The Workplace,workplace.stackexchange.com
wkpm,The Workplace Meta,meta.workplace.stackexchange.com
chem,Chemistry,chemistry.stackexchange.com
chemm,Chemistry Meta,meta.chemistry.stackexchange.com
ch1,Chess,chess.stackexchange.com
chm1,Chess Meta,meta.chess.stackexchange.com
rp,Raspberry Pi,raspberrypi.stackexchange.com
rpm,Raspberry Pi Meta,raspberrypi.meta.stackexchange.com
ru,Russian Language,russian.stackexchange.com
rum,Russian Language Meta,russian.meta.stackexchange.com
is,Islam,islam.stackexchange.com
ism,Islam Meta,islam.meta.stackexchange.com
sf1,Salesforce,salesforce.stackexchange.com
sfm1,Salesforce Meta,salesforce.meta.stackexchange.com
ap,Ask Patents,patents.stackexchange.com
apm,Ask Patents Meta,patents.meta.stackexchange.com
gf,Genealogy & Family History,genealogy.stackexchange.com
gfm,Genealogy & Family History Meta,genealogy.meta.stackexchange.com
ro,Robotics,robotics.stackexchange.com
rom,Robotics Meta,robotics.meta.stackexchange.com
ea,ExpressionEngine Answers,expressionengine.stackexchange.com
eam,ExpressionEngine Answers Meta,expressionengine.meta.stackexchange.com
po,Politics,politics.stackexchange.com
pom,Politics Meta,politics.meta.stackexchange.com
anime,Anime & Manga,anime.stackexchange.com
animem,Anime & Manga Meta,anime.meta.stackexchange.com
mg,Magento,magento.stackexchange.com
mgm,Magento Meta,magento.meta.stackexchange.com
ell,English Language Learners,ell.stackexchange.com
ellm,English Language Learners Meta,ell.meta.stackexchange.com
sl,Sustainable Living,sustainability.stackexchange.com
slm,Sustainable Living Meta,sustainability.meta.stackexchange.com
tri,Tridion,tridion.stackexchange.com
trim,Tridion Meta,tridion.meta.stackexchange.com
re,Reverse Engineering,reverseengineering.stackexchange.com
rem,Reverse Engineering Meta,reverseengineering.meta.stackexchange.com
ne,Network Engineering,networkengineering.stackexchange.com
nem,Network Engineering Meta,networkengineering.meta.stackexchange.com
od,Open Data,opendata.stackexchange.com
odm,Open Data Meta,opendata.meta.stackexchange.com
fr,Freelancing,freelancing.stackexchange.com
frm,Freelancing Meta,freelancing.meta.stackexchange.com
bl,Blender,blender.stackexchange.com
blm,Blender Meta,blender.meta.stackexchange.com
mo,MathOverflow,mathoverflow.net
mom,MathOverflow Meta,meta.mathoverflow.net
space,Space Exploration,space.stackexchange.com
spacem,Space Exploration Meta,space.meta.stackexchange.com
sd,Sound Design,sound.stackexchange.com
sdm,Sound Design Meta,sound.meta.stackexchange.com
as,Astronomy,astronomy.stackexchange.com
asm,Astronomy Meta,astronomy.meta.stackexchange.com
to,Tor,tor.stackexchange.com
tom,Tor Meta,tor.meta.stackexchange.com
pe,Pets,pets.stackexchange.com
pem,Pets Meta,pets.meta.stackexchange.com
ar,Amateur Radio,ham.stackexchange.com
arm,Amateur Radio Meta,ham.meta.stackexchange.com
it,Italian Language,italian.stackexchange.com
itm,Italian Language Meta,italian.meta.stackexchange.com
sopt,Stack Overflow em Português,pt.stackoverflow.com
soptm,Stack Overflow em Português Meta,pt.meta.stackoverflow.com
av,Aviation,aviation.stackexchange.com
avm,Aviation Meta,aviation.meta.stackexchange.com
eb,Ebooks,ebooks.stackexchange.com
ebm,Ebooks Meta,ebooks.meta.stackexchange.com
bw,Beer, Wine & Spirits,alcohol.stackexchange.com
bwm,Beer, Wine & Spirits Meta,alcohol.meta.stackexchange.com
sr,Software Recommendations,softwarerecs.stackexchange.com
srm,Software Recommendations Meta,softwarerecs.meta.stackexchange.com
ard,Arduino,arduino.stackexchange.com
ardm,Arduino Meta,arduino.meta.stackexchange.com
cs50,CS50,cs50.stackexchange.com
cs50m,CS50 Meta,cs50.meta.stackexchange.com
ex,Expatriates,expatriates.stackexchange.com
exm,Expatriates Meta,expatriates.meta.stackexchange.com
me,Mathematics Educators,matheducators.stackexchange.com
mem,Mathematics Educators Meta,matheducators.meta.stackexchange.com
mso,Meta Stack Overflow,meta.stackoverflow.com
es1,Earth Science,earthscience.stackexchange.com
esm1,Earth Science Meta,earthscience.meta.stackexchange.com
jo,Joomla,joomla.stackexchange.com
jom,Joomla Meta,joomla.meta.stackexchange.com
ds,Data Science,datascience.stackexchange.com
dsm,Data Science Meta,datascience.meta.stackexchange.com
pz,Puzzling,puzzling.stackexchange.com
pzm,Puzzling Meta,puzzling.meta.stackexchange.com
ccms,Craft CMS,craftcms.stackexchange.com
ccmsm,Craft CMS Meta,craftcms.meta.stackexchange.com
bd,Buddhism,buddhism.stackexchange.com
bdm,Buddhism Meta,buddhism.meta.stackexchange.com
hd,Hinduism,hinduism.stackexchange.com
hdm,Hinduism Meta,hinduism.meta.stackexchange.com
cb,Community Building,communitybuilding.stackexchange.com
cbm,Community Building Meta,communitybuilding.meta.stackexchange.com
wb,Worldbuilding,worldbuilding.stackexchange.com
wbm,Worldbuilding Meta,worldbuilding.meta.stackexchange.com
ja,スタック・オーバーフロー,ja.stackoverflow.com
jam,スタック・オーバーフローMeta,ja.meta.stackoverflow.com
em,Emacs,emacs.stackexchange.com
emm,Emacs Meta,emacs.meta.stackexchange.com
hsm,History of Science and Mathematics,hsm.stackexchange.com
hsmm,History of Science and Mathematics Meta,hsm.meta.stackexchange.com
ec,Economics,economics.stackexchange.com
ecm,Economics Meta,economics.meta.stackexchange.com
lh,Lifehacks,lifehacks.stackexchange.com
lhm,Lifehacks Meta,lifehacks.meta.stackexchange.com
en,Engineering,engineering.stackexchange.com
enm,Engineering Meta,engineering.meta.stackexchange.com
cf,Coffee,coffee.stackexchange.com
cfm,Coffee Meta,coffee.meta.stackexchange.com
vi,Vi and Vim,vi.stackexchange.com
vim,Vi and Vim Meta,vi.meta.stackexchange.com
mf,Music Fans,musicfans.stackexchange.com
mfm,Music Fans Meta,musicfans.meta.stackexchange.com
ww,Woodworking,woodworking.stackexchange.com
wwm,Woodworking Meta,woodworking.meta.stackexchange.com
ccrm,CiviCRM,civicrm.stackexchange.com
ccrmm,CiviCRM Meta,civicrm.meta.stackexchange.com
ms,Medical Sciences,medicalsciences.stackexchange.com
msm,Medical Sciences Meta,medicalsciences.meta.stackexchange.com
soru,Stack Overflow на русском,ru.stackoverflow.com
sorum,Stack Overflow на русском Meta,ru.meta.stackoverflow.com
rus,Русский язык,rus.stackexchange.com
rusm,Русский язык Meta,rus.meta.stackexchange.com
myf,Mythology & Folklore,mythology.stackexchange.com
myfm,Mythology & Folklore Meta,mythology.meta.stackexchange.com
lw,Law,law.stackexchange.com
lwm,Law Meta,law.meta.stackexchange.com
os,Open Source,opensource.stackexchange.com
osm,Open Source Meta,opensource.meta.stackexchange.com
eos,elementary OS,elementaryos.stackexchange.com
eosm,elementary OS Meta,elementaryos.meta.stackexchange.com
ptg,Portuguese Language,portuguese.stackexchange.com
ptgm,Portuguese Language Meta,portuguese.meta.stackexchange.com
cg,Computer Graphics,computergraphics.stackexchange.com
cgm,Computer Graphics Meta,computergraphics.meta.stackexchange.com
hr,Hardware Recommendations,hardwarerecs.stackexchange.com
hrm,Hardware Recommendations Meta,hardwarerecs.meta.stackexchange.com
soes,Stack Overflow en español,es.stackoverflow.com
soesm,Stack Overflow Meta en español,es.meta.stackoverflow.com
3d,3D Printing,3dprinting.stackexchange.com
3dm,3D Printing Meta,3dprinting.meta.stackexchange.com
et,Ethereum,ethereum.stackexchange.com
etm,Ethereum Meta,ethereum.meta.stackexchange.com
lt,Latin Language,latin.stackexchange.com
ltm,Latin Language Meta,latin.meta.stackexchange.com
