cpu-x	CPU-X
krita	Krita
vlc	VLC
codium	VSCodium
darktable	darktable
firefox	firefox
flameshot	flameshot
nawk	nawk
cointop	cointop
llvm	llvm
meson	meson
ninja-build	ninja
gcc	gcc
drive-google	drive
oci-cli	oci-cli
vultr-cli	vultr-cli
ansible	ansible
opentofu	opentofu
s3cmd	s3cmd
terraform	terraform
p7zip	7za
busybox	busybox
tealdeer	tealdeer
unzip	unzip
zip	zip
zstd	zstd
bubblewrap	bwrap
nvidia-container-toolkit	nvidia-container-toolkit
podman	podman
skopeo	skopeo
wine	wine
k3d	k3d
kubernetes-client	kubectl
bcal	bcal
upx	upx
vim-common-2	xxd
jc	jc
jq	jq
fzf	fzf
ripgrep	rg
skim	skim
pandoc	pandoc
elasticsearch	elasticsearch
redis	redis
scap-workbench	scap-workbench
mycli	mycli
mysql-community-server	mysql
sqlite	sqlite3
cgdb	cgdb
emacs	emacs
helix	helix
kibi	kibi
micro	micro
nano	nano
neovim	nvim
vim	vim
lutris	lutris
diskonaut	diskonaut
ncdu	ncdu
smartmontools-1	smartctl
exa	exa
eza	eza
lf	lf
mc	midnight-commander
nnn	nnn
ranger	ranger
bat	bat
diffoscope	diffoscope
fd-find	fd
ffsend	ffsend
rsync	rsync
trash-cli	trash-cli
tree	tree
hledger	hledger
fcitx5	fcitx5
khal	khal
groovy	groovy
java	java
julia	julia
lua	lua
mawk	mawk
php-cli	php
python-minimal	python
scala	scala
tinygo	tinygo
zig	zig
nodejs	node
rakudo	raku
flit	flit
hatch	hatch
mypy	mypy
pylint	pylint
sip	sip
virtualenv	virtualenv
borgbackup	borg
restic	restic
sc-im	sc-im
the_silver_searcher	the_silver_searcher
asciinema	asciinema
chafa	chafa
imagemagick	magick
ocrmypdf	ocrmypdf
golang-github-pdfcpu	pdfcpu
aria2	aria2
bmon	bmon
certbot	certbot
chisel	chisel
curl	curl
bind-utils	dig
globalping	globalping
hylafax+	hylafax
iftop	iftop
iptraf-ng	iptraf-ng
ltunify	ltunify
magic-wormhole	magic-wormhole
mitmproxy	mitmproxy
mosquitto	mosquitto
mtr	mtr
nload	nload
NetworkManager-tui-1	nmtui
socat	socat
speedtest-cli	speedtest-cli
tcptrack	tcptrack
traceroute-3	traceroute
wavemon	wavemon
atop	atop
cpufetch	cpufetch
opendoas	doas
easy-rsa	easy-rsa
fastfetch	fastfetch
glances	glances
htop	htop
neofetch	neofetch
nethogs	nethogs
nmon	nmon
nvtop	nvtop
procs	procs
psmisc	pstree
saidar	saidar
screenfetchh	screenfetch
systemd	systemctl
ytop	ytop
uxplay	UxPlay
irssi	irssi
mcabber	mcabber
pet	pet
qrencode	qrencode
w3m	w3m
conda	conda
dnf	dnf
opam	opam
pipenv	pipenv
zypper	zypper
cloc	cloc
git-delta	delta
python3-matplotlib	matplotlib
python3-scipy	scipy
mercurial	mercurial
scm-workbench	scm-workbench
glab	glab
soft-serve	soft-serve
bzr	bzr
git-absorb	git-absorb
git-annex	git-annex
git	git
lazygit	lazygit
onefetch	onefetch
tig	tig
activemq	activemq
ant	ant
gradle	gradle
hadoop-common	hadoop
age	age
bcrypt	bcrypt
dnstwist	dnstwist
gnupg	gnupg
gopass	gopass
hashcat	hashcat
lynis	lynis
nmap-ncat-2	ncat
nmap	nmap
nmap-2	nping
openssl	openssl
bash	bash
util-linux-user	chsh
dash	dash
fish	fish
hstr	hstr
ShellCheck	shellcheck
xonsh	xonsh
zsh	zsh
mosh	mosh
openssh	openssh-client
openssh-server	openssh-server
openssh	openssh
atac	atac
gifsicle	gifsicle
mindforger-MAJOR.MINOR.REVISION.rpm	mindforger
multitail	multitail
guake	guake
tmux	tmux
wezterm	wezterm
hyperfine	hyperfine
siege	siege
qemu-kvm	kvm
qemu	qemu
ddev	ddev
ddgr	ddgr
elinks	elinks
links	links
httpd	apache
nginx-extras	nginx
zola	zola
