Name,Desc
jina-embeddings-v2-base-en,On par with OpenAI's text-embedding-ada002
jina-embeddings-v2-base-code,Optimized for code and docstring search
jina-embeddings-v2-base-zh,Chinese-English billingual embeddings with SOTA performance
jina-embeddings-v2-base-de,German-English billingual embeddings with SOTA performance
jina-embeddings-v2-base-es,Spanish-English billingual embeddings with SOTA performance
